lines,comment_ratio,long_lines,max_depth,bad_names,function_count,avg_line_length,whitespace_ratio,import_count,has_docstring,complexity,label
6,0.33,0,1,4,1,17.0,0.33,0,0,0,Good
9,0.11,0,1,0,1,23.0,0.22,0,1,0,Good
4,0.0,0,1,4,1,14.0,0.5,0,0,0,Average
6,0.0,0,2,5,1,14.75,0.33,0,0,1,Average
7,0.0,0,1,7,1,10.2,0.29,0,0,3,Poor
8,0.0,0,1,9,1,11.17,0.25,0,0,4,Poor
6,0.33,0,1,4,1,17.0,0.33,0,0,0,Good
9,0.11,0,1,0,1,23.0,0.22,0,1,0,Good
4,0.0,0,1,4,1,14.0,0.5,0,0,0,Average
6,0.0,0,2,5,1,14.75,0.33,0,0,1,Average
7,0.0,0,1,7,1,10.2,0.29,0,0,3,Poor
8,0.0,0,1,9,1,11.17,0.25,0,0,4,Poor
6,0.33,0,1,4,1,17.0,0.33,0,0,0,Good
9,0.11,0,1,0,1,23.0,0.22,0,1,0,Good
4,0.0,0,1,4,1,14.0,0.5,0,0,0,Average
6,0.0,0,2,5,1,14.75,0.33,0,0,1,Average
7,0.0,0,1,7,1,10.2,0.29,0,0,3,Poor
8,0.0,0,1,9,1,11.17,0.25,0,0,4,Poor
6,0.33,0,1,4,1,17.0,0.33,0,0,0,Good
9,0.11,0,1,0,1,23.0,0.22,0,1,0,Good
4,0.0,0,1,4,1,14.0,0.5,0,0,0,Average
6,0.0,0,2,5,1,14.75,0.33,0,0,1,Average
7,0.0,0,1,7,1,10.2,0.29,0,0,3,Poor
8,0.0,0,1,9,1,11.17,0.25,0,0,4,Poor
6,0.33,0,1,4,1,17.0,0.33,0,0,0,Good
9,0.11,0,1,0,1,23.0,0.22,0,1,0,Good
4,0.0,0,1,4,1,14.0,0.5,0,0,0,Average
6,0.0,0,2,5,1,14.75,0.33,0,0,1,Average
7,0.0,0,1,7,1,10.2,0.29,0,0,3,Poor
8,0.0,0,1,9,1,11.17,0.25,0,0,4,Poor
6,0.33,0,1,4,1,17.0,0.33,0,0,0,Good
9,0.11,0,1,0,1,23.0,0.22,0,1,0,Good
4,0.0,0,1,4,1,14.0,0.5,0,0,0,Average
6,0.0,0,2,5,1,14.75,0.33,0,0,1,Average
7,0.0,0,1,7,1,10.2,0.29,0,0,3,Poor
8,0.0,0,1,9,1,11.17,0.25,0,0,4,Poor
6,0.33,0,1,4,1,17.0,0.33,0,0,0,Good
9,0.11,0,1,0,1,23.0,0.22,0,1,0,Good
4,0.0,0,1,4,1,14.0,0.5,0,0,0,Average
6,0.0,0,2,5,1,14.75,0.33,0,0,1,Average
7,0.0,0,1,7,1,10.2,0.29,0,0,3,Poor
8,0.0,0,1,9,1,11.17,0.25,0,0,4,Poor
6,0.33,0,1,4,1,17.0,0.33,0,0,0,Good
9,0.11,0,1,0,1,23.0,0.22,0,1,0,Good
4,0.0,0,1,4,1,14.0,0.5,0,0,0,Average
6,0.0,0,2,5,1,14.75,0.33,0,0,1,Average
7,0.0,0,1,7,1,10.2,0.29,0,0,3,Poor
8,0.0,0,1,9,1,11.17,0.25,0,0,4,Poor
6,0.33,0,1,4,1,17.0,0.33,0,0,0,Good
9,0.11,0,1,0,1,23.0,0.22,0,1,0,Good
4,0.0,0,1,4,1,14.0,0.5,0,0,0,Average
6,0.0,0,2,5,1,14.75,0.33,0,0,1,Average
7,0.0,0,1,7,1,10.2,0.29,0,0,3,Poor
8,0.0,0,1,9,1,11.17,0.25,0,0,4,Poor
6,0.33,0,1,4,1,17.0,0.33,0,0,0,Good
9,0.11,0,1,0,1,23.0,0.22,0,1,0,Good
4,0.0,0,1,4,1,14.0,0.5,0,0,0,Average
6,0.0,0,2,5,1,14.75,0.33,0,0,1,Average
7,0.0,0,1,7,1,10.2,0.29,0,0,3,Poor
8,0.0,0,1,9,1,11.17,0.25,0,0,4,Poor
6,0.33,0,1,4,1,17.5,0.33,0,0,0,Good
9,0.11,0,1,0,1,23.14,0.22,0,1,0,Good
4,0.0,0,1,4,1,14.5,0.5,0,0,0,Average
6,0.0,0,2,5,1,15.0,0.33,0,0,1,Average
7,0.0,0,1,7,1,10.4,0.29,0,0,3,Poor
8,0.0,0,1,9,1,11.33,0.25,0,0,4,Poor
6,0.33,0,1,4,1,17.5,0.33,0,0,0,Good
9,0.11,0,1,0,1,23.14,0.22,0,1,0,Good
4,0.0,0,1,4,1,14.5,0.5,0,0,0,Average
6,0.0,0,2,5,1,15.0,0.33,0,0,1,Average
7,0.0,0,1,7,1,10.4,0.29,0,0,3,Poor
8,0.0,0,1,9,1,11.33,0.25,0,0,4,Poor
6,0.33,0,1,4,1,17.5,0.33,0,0,0,Good
9,0.11,0,1,0,1,23.14,0.22,0,1,0,Good
4,0.0,0,1,4,1,14.5,0.5,0,0,0,Average
6,0.0,0,2,5,1,15.0,0.33,0,0,1,Average
7,0.0,0,1,7,1,10.4,0.29,0,0,3,Poor
8,0.0,0,1,9,1,11.33,0.25,0,0,4,Poor
6,0.33,0,1,4,1,17.5,0.33,0,0,0,Good
